,,3,3.1,3.2,3.3,3.4
4.2.1.1,Close,An action closely related to a group or species ,An action closely related to a group or species that is currently occuring  ,An action closely related to a group or species that has already occured ,An action closely related to a group or species that will occur ,An action closely related to a group or species that is resting or stopped 
4.2.1.2,Distant ,An action distantly related to a group or species ,An action distantly related to a group or species that is currently occuring  ,An action distantly related to a group or species that has already occured ,An action distantly related to a group or species that will occur ,An action distantly related to a group or species that is resting or stopped 
4.3,Gender,An action involving a gender ,An action involving a gender that is currently occuring  ,An action involving a gender that has already occured ,An action involving a gender that will occur ,An action involving a gender that is resting or stopped 
4.3.1,Female,An action involving a gender that is female ,An action involving a gender that is female that is currently occuring  ,An action involving a gender that is female that has already occured ,An action involving a gender that is female that will occur ,An action involving a gender that is female that is resting or stopped 
4.3.2,Male,An action involving a gender that is male ,An action involving a gender that is male that is currently occuring  ,An action involving a gender that is male that has already occured ,An action involving a gender that is male that will occur ,An action involving a gender that is male that is resting or stopped 
4.3.3,Other,An action involving gender that is neither female or male ,An action involving gender that is neither female or male that is currently occuring  ,An action involving gender that is neither female or male that has already occured ,An action involving gender that is neither female or male that will occur ,An action involving gender that is neither female or male that is resting or stopped 
5,Quantitative,An action involving an amount ,An action involving an amount that is currently occuring  ,An action involving an amount that has already occured ,An action involving an amount that will occur ,An action involving an amount that is resting or stopped 
5.1,Single,An action involving a singular amount ,An action involving a singular amount that is currently occuring  ,An action involving a singular amount that has already occured ,An action involving a singular amount that will occur ,An action involving a singular amount that is resting or stopped 
5.1.1,Positive,An action involving a single amount that is positive ,An action involving a single amount that is positive that is currently occuring  ,An action involving a single amount that is positive that has already occured ,An action involving a single amount that is positive that will occur ,An action involving a single amount that is positive that is resting or stopped 
5.1.2,Negative,An action involving a single amount that is negative ,An action involving a single amount that is negative that is currently occuring  ,An action involving a single amount that is negative that has already occured ,An action involving a single amount that is negative that will occur ,An action involving a single amount that is negative that is resting or stopped 
5.2,Multiple,An action involving multiple amounts ,An action involving multiple amounts that is currently occuring  ,An action involving multiple amounts that has already occured ,An action involving multiple amounts that will occur ,An action involving multiple amounts that is resting or stopped 
5.2.1,Positive,An action involving positive multiple amounts ,An action involving positive multiple amounts that is currently occuring  ,An action involving positive multiple amounts that has already occured ,An action involving positive multiple amounts that will occur ,An action involving positive multiple amounts that is resting or stopped 
5.2.2,Negative ,An action involving multiple negative amounts ,An action involving multiple negative amounts that is currently occuring  ,An action involving multiple negative amounts that has already occured ,An action involving multiple negative amounts that will occur ,An action involving multiple negative amounts that is resting or stopped 
