Node ID,,context,1,1.1,1.2,1.3,2,2.1,2.2,3,3.1,3.2,3.3,3.4
2.1.3,        Location,that is at a specific location,,A Focus that is an objective focus In time or space that is at a specific location,A Focus that is an objective focus and is on a material object In time or space that is in a space that is at a specific location,A Focus that is an objective focus that is immaterial that is in a space that is at a specific location,A Focus that is an objective focus that is immaterial that is in a space that is at a specific locationand factual,A Focus that is an objective focus that is immaterial that is in a space that is at a specific locationand is an opinion or perspective,A Focus that is subjective focus In time or space that is in a space that is at a specific location,A Focus that is subjective focus In time or space that is in a space that is at a specific locationthat is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a space that is at a specific locationthat is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a space that is at a specific locationthat is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a space that is at a specific locationthat is a creative subjective focus,A Focus that is a general or universal focus In time or space that is at a specific location
2.2,    Time,that is in a time ,A Focus In time or space that is in a time ,A Focus that is an objective focus In time or space that is in a time ,A Focus that is an objective focus and is on a material object In time or space that is in a time ,A Focus that is an objective focus that is immaterial In time or space that is in a time ,A Focus that is an objective focus that is immaterial In time or space that is in a time and factual,A Focus that is an objective focus that is immaterial In time or space that is in a time and is an opinion or perspective,A Focus that is subjective focus In time or space that is in a time ,A Focus that is subjective focus In time or space that is in a time that is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a time that is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a time that is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a time that is a creative subjective focus,A Focus that is a general or universal focus In time or space that is in a time 
2.2.1,        Present,that is now in the present ,A Focus In time or space that is in a time that is now in the present ,A Focus that is an objective focus In time or space that is in a time that is now in the present ,A Focus that is an objective focus and is on a material object In time or space that is in a time that is now in the present ,A Focus that is an objective focus that is immaterial In time or space that is in a time that is now in the present ,A Focus that is an objective focus that is immaterial In time or space that is in a time that is now in the present and factual,A Focus that is an objective focus that is immaterial In time or space that is in a time that is now in the present and is an opinion or perspective,A Focus that is subjective focus In time or space that is in a time that is now in the present ,A Focus that is subjective focus In time or space that is in a time that is now in the present that is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a time that is now in the present that is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a time that is now in the present that is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a time that is now in the present that is a creative subjective focus,A Focus that is a general or universal focus In time or space that is in a time that is now in the present 
2.2.2,        Past,that is in the past,A Focus In time or space that is in a time that is in the past,A Focus that is an objective focus In time or space that is in a time that is in the past,A Focus that is an objective focus and is on a material object In time or space that is in a time that is in the past,A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the past,A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the pastand factual,A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the pastand is an opinion or perspective,A Focus that is subjective focus In time or space that is in a time that is in the past,A Focus that is subjective focus In time or space that is in a time that is in the pastthat is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a time that is in the pastthat is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a time that is in the pastthat is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a time that is in the pastthat is a creative subjective focus,A Focus that is a general or universal focus In time or space that is in a time that is in the past
2.2.2.1,          Near," , the near past ","A Focus In time or space that is in a time that is in the past , the near past ","A Focus that is an objective focus In time or space that is in a time that is in the past , the near past ","A Focus that is an objective focus and is on a material object In time or space that is in a time that is in the past , the near past ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the past , the near past ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the past , the near past and factual","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the past , the near past and is an opinion or perspective","A Focus that is subjective focus In time or space that is in a time that is in the past , the near past ","A Focus that is subjective focus In time or space that is in a time that is in the past , the near past that is an abstract subjective focus ","A Focus that is subjective focus In time or space that is in a time that is in the past , the near past that is an abstract subjective focus and is positive","A Focus that is subjective focus In time or space that is in a time that is in the past , the near past that is an abstract subjective focus and is negative ","A Focus that is subjective focus In time or space that is in a time that is in the past , the near past that is a creative subjective focus","A Focus that is a general or universal focus In time or space that is in a time that is in the past , the near past "
2.2.2.2,          Distant ," , the distant past ","A Focus In time or space that is in a time that is in the past , the distant past ","A Focus that is an objective focus In time or space that is in a time that is in the past , the distant past ","A Focus that is an objective focus and is on a material object In time or space that is in a time that is in the past , the distant past ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the past , the distant past ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the past , the distant past and factual","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the past , the distant past and is an opinion or perspective","A Focus that is subjective focus In time or space that is in a time that is in the past , the distant past ","A Focus that is subjective focus In time or space that is in a time that is in the past , the distant past that is an abstract subjective focus ","A Focus that is subjective focus In time or space that is in a time that is in the past , the distant past that is an abstract subjective focus and is positive","A Focus that is subjective focus In time or space that is in a time that is in the past , the distant past that is an abstract subjective focus and is negative ","A Focus that is subjective focus In time or space that is in a time that is in the past , the distant past that is a creative subjective focus","A Focus that is a general or universal focus In time or space that is in a time that is in the past , the distant past "
2.2.3,    Future,that is in the future,A Focus In time or space that is in a time that is in the future,A Focus that is an objective focus In time or space that is in a time that is in the future,A Focus that is an objective focus and is on a material object In time or space that is in a time that is in the future,A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the future,A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the futureand factual,A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the futureand is an opinion or perspective,A Focus that is subjective focus In time or space that is in a time that is in the future,A Focus that is subjective focus In time or space that is in a time that is in the futurethat is an abstract subjective focus ,A Focus that is subjective focus In time or space that is in a time that is in the futurethat is an abstract subjective focus and is positive,A Focus that is subjective focus In time or space that is in a time that is in the futurethat is an abstract subjective focus and is negative ,A Focus that is subjective focus In time or space that is in a time that is in the futurethat is a creative subjective focus,A Focus that is a general or universal focus In time or space that is in a time that is in the future
2.2.3.1,          Near,", the near future ","A Focus In time or space that is in a time that is in the future, the near future ","A Focus that is an objective focus In time or space that is in a time that is in the future, the near future ","A Focus that is an objective focus and is on a material object In time or space that is in a time that is in the future, the near future ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the future, the near future ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the future, the near future and factual","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the future, the near future and is an opinion or perspective","A Focus that is subjective focus In time or space that is in a time that is in the future, the near future ","A Focus that is subjective focus In time or space that is in a time that is in the future, the near future that is an abstract subjective focus ","A Focus that is subjective focus In time or space that is in a time that is in the future, the near future that is an abstract subjective focus and is positive","A Focus that is subjective focus In time or space that is in a time that is in the future, the near future that is an abstract subjective focus and is negative ","A Focus that is subjective focus In time or space that is in a time that is in the future, the near future that is a creative subjective focus","A Focus that is a general or universal focus In time or space that is in a time that is in the future, the near future "
2.2.3.2,          Distant,", the distant future ","A Focus In time or space that is in a time that is in the future, the distant future ","A Focus that is an objective focus In time or space that is in a time that is in the future, the distant future ","A Focus that is an objective focus and is on a material object In time or space that is in a time that is in the future, the distant future ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the future, the distant future ","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the future, the distant future and factual","A Focus that is an objective focus that is immaterial In time or space that is in a time that is in the future, the distant future and is an opinion or perspective","A Focus that is subjective focus In time or space that is in a time that is in the future, the distant future ","A Focus that is subjective focus In time or space that is in a time that is in the future, the distant future that is an abstract subjective focus ","A Focus that is subjective focus In time or space that is in a time that is in the future, the distant future that is an abstract subjective focus and is positive","A Focus that is subjective focus In time or space that is in a time that is in the future, the distant future that is an abstract subjective focus and is negative ","A Focus that is subjective focus In time or space that is in a time that is in the future, the distant future that is a creative subjective focus","A Focus that is a general or universal focus In time or space that is in a time that is in the future, the distant future "
3,Action,performing an action ,A Focus performing an action ,A Focus that is an objective focus performing an action ,A Focus that is an objective focus and is on a material object performing an action ,A Focus that is an objective focus that is immaterial performing an action ,A Focus that is an objective focus that is immaterial performing an action and factual,A Focus that is an objective focus that is immaterial performing an action and is an opinion or perspective,A Focus that is subjective focus performing an action ,A Focus that is subjective focus performing an action that is an abstract subjective focus ,A Focus that is subjective focus performing an action that is an abstract subjective focus and is positive,A Focus that is subjective focus performing an action that is an abstract subjective focus and is negative ,A Focus that is subjective focus performing an action that is a creative subjective focus,A Focus that is a general or universal focus performing an action 
3.1,Current/Occuring,that is currently occuring ,A Focus performing an action that is currently occuring ,A Focus that is an objective focus performing an action that is currently occuring ,A Focus that is an objective focus and is on a material object performing an action that is currently occuring ,A Focus that is an objective focus that is immaterial performing an action that is currently occuring ,A Focus that is an objective focus that is immaterial performing an action that is currently occuring and factual,A Focus that is an objective focus that is immaterial performing an action that is currently occuring and is an opinion or perspective,A Focus that is subjective focus performing an action that is currently occuring ,A Focus that is subjective focus performing an action that is currently occuring that is an abstract subjective focus ,A Focus that is subjective focus performing an action that is currently occuring that is an abstract subjective focus and is positive,A Focus that is subjective focus performing an action that is currently occuring that is an abstract subjective focus and is negative ,A Focus that is subjective focus performing an action that is currently occuring that is a creative subjective focus,A Focus that is a general or universal focus performing an action that is currently occuring 
3.2,Past/Occured,that has already occured ,A Focus performing an action that has already occured ,A Focus that is an objective focus performing an action that has already occured ,A Focus that is an objective focus and is on a material object performing an action that has already occured ,A Focus that is an objective focus that is immaterial performing an action that has already occured ,A Focus that is an objective focus that is immaterial performing an action that has already occured and factual,A Focus that is an objective focus that is immaterial performing an action that has already occured and is an opinion or perspective,A Focus that is subjective focus performing an action that has already occured ,A Focus that is subjective focus performing an action that has already occured that is an abstract subjective focus ,A Focus that is subjective focus performing an action that has already occured that is an abstract subjective focus and is positive,A Focus that is subjective focus performing an action that has already occured that is an abstract subjective focus and is negative ,A Focus that is subjective focus performing an action that has already occured that is a creative subjective focus,A Focus that is a general or universal focus performing an action that has already occured 
3.3,Future/Later,that will occur in the future ,A Focus performing an action that will occur in the future ,A Focus that is an objective focus performing an action that will occur in the future ,A Focus that is an objective focus and is on a material object performing an action that will occur in the future ,A Focus that is an objective focus that is immaterial performing an action that will occur in the future ,A Focus that is an objective focus that is immaterial performing an action that will occur in the future and factual,A Focus that is an objective focus that is immaterial performing an action that will occur in the future and is an opinion or perspective,A Focus that is subjective focus performing an action that will occur in the future ,A Focus that is subjective focus performing an action that will occur in the future that is an abstract subjective focus ,A Focus that is subjective focus performing an action that will occur in the future that is an abstract subjective focus and is positive,A Focus that is subjective focus performing an action that will occur in the future that is an abstract subjective focus and is negative ,A Focus that is subjective focus performing an action that will occur in the future that is a creative subjective focus,A Focus that is a general or universal focus performing an action that will occur in the future 
3.4,Rest/Stop,that is resting or has stopped ,A Focus performing an action that is resting or has stopped ,A Focus that is an objective focus performing an action that is resting or has stopped ,A Focus that is an objective focus and is on a material object performing an action that is resting or has stopped ,A Focus that is an objective focus that is immaterial performing an action that is resting or has stopped ,A Focus that is an objective focus that is immaterial performing an action that is resting or has stopped and factual,A Focus that is an objective focus that is immaterial performing an action that is resting or has stopped and is an opinion or perspective,A Focus that is subjective focus performing an action that is resting or has stopped ,A Focus that is subjective focus performing an action that is resting or has stopped that is an abstract subjective focus ,A Focus that is subjective focus performing an action that is resting or has stopped that is an abstract subjective focus and is positive,A Focus that is subjective focus performing an action that is resting or has stopped that is an abstract subjective focus and is negative ,A Focus that is subjective focus performing an action that is resting or has stopped that is a creative subjective focus,A Focus that is a general or universal focus performing an action that is resting or has stopped 
4,Identity, that has been identified ,A Focus  that has been identified ,A Focus that is an objective focus  that has been identified ,A Focus that is an objective focus and is on a material object  that has been identified ,A Focus that is an objective focus that is immaterial  that has been identified ,A Focus that is an objective focus that is immaterial  that has been identified and factual,A Focus that is an objective focus that is immaterial  that has been identified and is an opinion or perspective,A Focus that is subjective focus  that has been identified ,A Focus that is subjective focus  that has been identified that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified 
4.1,    Self,as referring to self ,A Focus  that has been identified as referring to self ,A Focus that is an objective focus  that has been identified as referring to self ,A Focus that is an objective focus and is on a material object  that has been identified as referring to self ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self and factual,A Focus that is an objective focus that is immaterial  that has been identified as referring to self and is an opinion or perspective,A Focus that is subjective focus  that has been identified as referring to self ,A Focus that is subjective focus  that has been identified as referring to self that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as referring to self that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as referring to self that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as referring to self that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as referring to self 
4.1.1,        Related,as being related to itself ,A Focus  that has been identified as being related to itself ,A Focus that is an objective focus  that has been identified as being related to itself ,A Focus that is an objective focus and is on a material object  that has been identified as being related to itself ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself and factual,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself and is an opinion or perspective,A Focus that is subjective focus  that has been identified as being related to itself ,A Focus that is subjective focus  that has been identified as being related to itself that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as being related to itself that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as being related to itself that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as being related to itself that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as being related to itself 
4.1.1.1,          Close,closely. ,A Focus  that has been identified as being related to itself closely. ,A Focus that is an objective focus  that has been identified as being related to itself closely. ,A Focus that is an objective focus and is on a material object  that has been identified as being related to itself closely. ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself closely. ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself closely. and factual,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself closely. and is an opinion or perspective,A Focus that is subjective focus  that has been identified as being related to itself closely. ,A Focus that is subjective focus  that has been identified as being related to itself closely. that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as being related to itself closely. that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as being related to itself closely. that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as being related to itself closely. that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as being related to itself closely. 
4.1.1.2,          Distant ,distantly. ,A Focus  that has been identified as being related to itself distantly. ,A Focus that is an objective focus  that has been identified as being related to itself distantly. ,A Focus that is an objective focus and is on a material object  that has been identified as being related to itself distantly. ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself distantly. ,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself distantly. and factual,A Focus that is an objective focus that is immaterial  that has been identified as referring to self as being related to itself distantly. and is an opinion or perspective,A Focus that is subjective focus  that has been identified as being related to itself distantly. ,A Focus that is subjective focus  that has been identified as being related to itself distantly. that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as being related to itself distantly. that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as being related to itself distantly. that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as being related to itself distantly. that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as being related to itself distantly. 
4.2,    Species,as a group or species ,A Focus  that has been identified as a group or species ,A Focus that is an objective focus  that has been identified as a group or species ,A Focus that is an objective focus and is on a material object  that has been identified as a group or species ,A Focus that is an objective focus that is immaterial  that has been identified as a group or species ,A Focus that is an objective focus that is immaterial  that has been identified as a group or species and factual,A Focus that is an objective focus that is immaterial  that has been identified as a group or species and is an opinion or perspective,A Focus that is subjective focus  that has been identified as a group or species ,A Focus that is subjective focus  that has been identified as a group or species that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as a group or species that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as a group or species that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as a group or species that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as a group or species 
4.2.1,        Related,as related to a group or species ,A Focus  that has been identified as related to a group or species ,A Focus that is an objective focus  that has been identified as related to a group or species ,A Focus that is an objective focus and is on a material object  that has been identified as related to a group or species ,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species ,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species and factual,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species and is an opinion or perspective,A Focus that is subjective focus  that has been identified as related to a group or species ,A Focus that is subjective focus  that has been identified as related to a group or species that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as related to a group or species that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as related to a group or species that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as related to a group or species that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as related to a group or species 
4.2.1.1,          Close,closely. ,A Focus  that has been identified as related to a group or species closely. ,A Focus that is an objective focus  that has been identified as related to a group or species closely. ,A Focus that is an objective focus and is on a material object  that has been identified as related to a group or species closely. ,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species closely. ,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species closely. and factual,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species closely. and is an opinion or perspective,A Focus that is subjective focus  that has been identified as related to a group or species closely. ,A Focus that is subjective focus  that has been identified as related to a group or species closely. that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as related to a group or species closely. that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as related to a group or species closely. that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as related to a group or species closely. that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as related to a group or species closely. 
4.2.1.2,          Distant ,distantly.,A Focus  that has been identified as related to a group or species distantly.,A Focus that is an objective focus  that has been identified as related to a group or species distantly.,A Focus that is an objective focus and is on a material object  that has been identified as related to a group or species distantly.,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species distantly.,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species distantly.and factual,A Focus that is an objective focus that is immaterial  that has been identified as a group or species as related to a group or species distantly.and is an opinion or perspective,A Focus that is subjective focus  that has been identified as related to a group or species distantly.,A Focus that is subjective focus  that has been identified as related to a group or species distantly.that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as related to a group or species distantly.that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as related to a group or species distantly.that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as related to a group or species distantly.that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as related to a group or species distantly.
4.3,    Gender,as a gender ,A Focus  that has been identified as a gender ,A Focus that is an objective focus  that has been identified as a gender ,A Focus that is an objective focus and is on a material object  that has been identified as a gender ,A Focus that is an objective focus that is immaterial  that has been identified as a gender ,A Focus that is an objective focus that is immaterial  that has been identified as a gender and factual,A Focus that is an objective focus that is immaterial  that has been identified as a gender and is an opinion or perspective,A Focus that is subjective focus  that has been identified as a gender ,A Focus that is subjective focus  that has been identified as a gender that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as a gender that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as a gender that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as a gender that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as a gender 
4.3.1,        Female,that is female ,A Focus  that has been identified as a gender that is female ,A Focus that is an objective focus  that has been identified as a gender that is female ,A Focus that is an objective focus and is on a material object  that has been identified as a gender that is female ,A Focus that is an objective focus that is immaterial  that has been identified as a gender that is female ,A Focus that is an objective focus that is immaterial  that has been identified as a gender that is female and factual,A Focus that is an objective focus that is immaterial  that has been identified as a gender that is female and is an opinion or perspective,A Focus that is subjective focus  that has been identified as a gender that is female ,A Focus that is subjective focus  that has been identified as a gender that is female that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as a gender that is female that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as a gender that is female that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as a gender that is female that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as a gender that is female 
4.3.2,        Male,that is male ,A Focus  that has been identified as a gender that is male ,A Focus that is an objective focus  that has been identified as a gender that is male ,A Focus that is an objective focus and is on a material object  that has been identified as a gender that is male ,A Focus that is an objective focus that is immaterial  that has been identified as a gender that is male ,A Focus that is an objective focus that is immaterial  that has been identified as a gender that is male and factual,A Focus that is an objective focus that is immaterial  that has been identified as a gender that is male and is an opinion or perspective,A Focus that is subjective focus  that has been identified as a gender that is male ,A Focus that is subjective focus  that has been identified as a gender that is male that is an abstract subjective focus ,A Focus that is subjective focus  that has been identified as a gender that is male that is an abstract subjective focus and is positive,A Focus that is subjective focus  that has been identified as a gender that is male that is an abstract subjective focus and is negative ,A Focus that is subjective focus  that has been identified as a gender that is male that is a creative subjective focus,A Focus that is a general or universal focus  that has been identified as a gender that is male 
